VideoID,Description
arpan01,there is many desks and benches in the classroom
arpan01,desks and benches are in the classroom
arpan01,the classroom is empty
arpan01,there is an empty classroom with desks and benches
arpan02,two man are talking to each other
arpan02,a man is talking to another man
arpan02,two person are chatting with each other
arpan02,there are two people talking to each other
arpan02,one man is chatting to another man
arpan03,a man is teaching 
arpan03,a man is writing on the board
arpan03,a teacher is writing something on the board
arpan03,a man is teaching another man
arpan03,a person is teaching
arpan04,a man is making projector
arpan04,a man is fixing projector
arpan04,a person is standing and using projector
arpan04,there is a man fixing projector
arpan05,a person is writing something
arpan05,there is a man studying
arpan05,students are studying
arpan05,a person is writing something in a copy
arpan05,a man is writing in a copy
arpan06,students are stuyding in a class
arpan06,a teacher is teaching and students are studying
arpan06,a group of students are studying
arpan06,students are sitting in the class
arpan06,there are a group of students studying in a class
arpan07,there are a group of people 
arpan07,a group of people are talking to each other
arpan07,a group of people are chatting to each other 
arpan07,a group of people are discussing
arpan07,people are sitting and studying
arpan08,two people are handshaking
arpan08,two friends are shaking their hand
arpan08,two people are talking to each other
arpan08,a man is talking to another woman
arpan08,two people are chatting and handshaking
arpan09,people are waiting in a queue
arpan09,group of people are standing in a line
arpan09,many people are standing in a queue
arpan09,there are a lot of people waiting in a line
arpan09,there are two queue of people standing
arpan10,there are bikes and scooters
arpan10,a number of bikes are parked
arpan10,there are bikes and scooters parked
arpan10,bikes and scooters are parking
arpan10,a number of scooters are parked
arpan11,a girl is eating
arpan11,a women is eating something
arpan11,there is a girl eating
arpan11,a girl is chewing her food
arpan11,a girl is chewing and eating
arpan12,a man is walking in a crowd
arpan12,a group of people are walking
arpan12,people are walking
arpan12,a person is walking
arpan12,there are people walking in front of a temple
arpan13,a girl is walking in a crowd
arpan13,a group of people are walking in front of a temple
arpan13,a women is walking
arpan13,a person is walking
arpan13,Peple are walking
arpan14,people are walking in a corridor
arpan14,group of people are in a corridor
arpan14,people are walking
arpan14,a man is walking in a corridor
arpan15,people are using their laptop
arpan15,a man is working in his laptop
arpan15,people are studying in their laptop
arpan15,a group of people are using laptop
arpan15,there are people working in front of laptop
arpan16,people are using their laptop
arpan16,people are studying in their laptop
arpan16,a group of people are using laptop
arpan16,there are people studying in a class
arpan17,people are using their laptop
arpan17,people are studying in their laptop
arpan17,a group of people are using laptop
arpan17,there are people studying in a class
arpan17,group of people are working in the laptop
arpan18,group of people are eating food
arpan18,there are people having snacks
arpan18,people are talking to each other and eating
arpan18,people are eating food
arpan18,group of people are talking to each other
arpan19,there are a group of people 
arpan19,a group of people are talking to each other
arpan19,a group of people are chatting to each other 
arpan19,people are talking to each other
arpan19,group of people are discussing
arpan20,a man is teaching in the class
arpan20,there is a teacher teaching
arpan20,a man is presenting
arpan20,a person is presenting in a class
arpan20,a person is giving a presentation
